date,Afluente_SN,a,b,Temp_C,Qobs_m3s,P_mm,PET_mm
1950/01/1,0.8,,,18.46,2.193,0.800,3.252
1950/01/2,0,,,18.46,1.108,0.000,3.252
1950/01/3,0,,,18.46,1.086,0.000,3.252
1950/01/4,0,,,18.46,1.064,0.000,3.252
1950/01/5,0,,,18.46,1.043,0.000,3.252
1950/01/6,1.5,,,18.46,1.029,1.500,3.252
1950/01/7,14.2,,,18.46,1.072,14.200,3.252
1950/01/8,0,,,18.46,1.050,0.000,3.252
1950/01/9,0,,,18.46,1.029,0.000,3.252
1950/01/10,0,,,18.46,1.009,0.000,3.252
1950/01/11,0,,,18.46,0.988,0.000,3.252
1950/01/12,0,,,18.46,0.969,0.000,3.252
1950/01/13,3,,,18.46,0.960,3.000,3.252
1950/01/14,1.5,,,18.46,0.947,1.500,3.252
1950/01/15,0,,,18.46,0.928,0.000,3.252
1950/01/16,0,,,18.46,0.909,0.000,3.252
1950/01/17,0,,,18.46,0.891,0.000,3.252
1950/01/18,0,,,18.46,0.873,0.000,3.252
1950/01/19,0,,,18.46,0.856,0.000,3.252
1950/01/20,10,,,18.46,0.861,10.000,3.252
1950/01/21,4,,,18.46,0.856,4.000,3.252
1950/01/22,1.4,,,18.46,0.843,1.400,3.252
1950/01/23,0,,,18.46,0.826,0.000,3.252
1950/01/24,0,,,18.46,0.809,0.000,3.252
1950/01/25,0,,,18.46,0.793,0.000,3.252
1950/01/26,5,,,18.46,0.789,5.000,3.252
1950/01/27,17,,,18.46,0.815,17.000,3.252
1950/01/28,7,,,18.46,0.826,7.000,3.252
1950/01/29,0,,,18.46,0.809,0.000,3.252
1950/01/30,2,,,18.46,0.801,2.000,3.252
1950/01/31,13,,,18.46,0.834,13.000,3.252
1950/02/1,15,,,18.46,1.261,15.000,3.252
1950/02/2,4,,,18.46,0.888,4.000,3.252
1950/02/3,2,,,18.46,0.882,2.000,3.252
1950/02/4,0.5,,,18.46,0.867,0.500,3.252
1950/02/5,10,,,18.46,0.902,10.000,3.252
1950/02/6,4,,,18.46,0.907,4.000,3.252
1950/02/7,7,,,18.46,0.929,7.000,3.252
1950/02/8,22,,,18.46,4.268,22.000,3.252
1950/02/9,10,,,18.46,1.603,10.000,3.252
