date,Q_sim_m3s,Q_sim_mm,P_mm,PET_mm,ET_mm,Q_obs_m3s
1950-01-01,0.048672130050181686,0.10513180090839243,0.8,3.252,0.0,2.193
1950-01-02,0.03283012754258967,0.07091307549199369,0.0,3.252,0.045544681807837835,1.108
1950-01-03,0.014892406117741093,0.03216759721432076,0.0,3.252,0.045165422592398974,1.086
1950-01-04,0.006966476444166656,0.015047589119399976,0.0,3.252,0.04295504015789885,1.064
1950-01-05,0.004625266443333815,0.00999057551760104,0.0,3.252,0.0066457415989985835,1.043
1950-01-06,0.1521759002904489,0.3286999446273696,1.5,3.252,0.03820483323216662,1.029
1950-01-07,3.438170880653893,7.426449102212408,14.2,3.252,0.10860311652086457,1.072
1950-01-08,1.7797821057515764,3.844329348423405,0.0,3.252,0.0,1.05
1950-01-09,0.5894742505557602,1.273264381200442,0.0,3.252,0.0,1.029
1950-01-10,0.16855603132141672,0.36408102765426015,0.0,3.252,0.0,1.009
1950-01-11,0.0553372141823968,0.11952838263397708,0.0,3.252,0.0,0.988
1950-01-12,0.02944069895993005,0.06359190975344892,0.0,3.252,0.0,0.969
1950-01-13,0.4887816012297132,1.0557682586561805,3.0,3.252,0.2276423619538065,0.96
1950-01-14,0.3673853436741552,0.7935523423361752,1.5,3.252,0.31896982182665984,0.947
1950-01-15,0.16012795093926038,0.34587637402880245,0.0,3.252,0.3512950696675887,0.928
1950-01-16,0.0693956799635678,0.14989466872130644,0.0,3.252,0.0,0.909
1950-01-17,0.04235155043205982,0.09147934893324922,0.0,3.252,0.0,0.891
1950-01-18,0.03585797462434389,0.0774532251885828,0.0,3.252,0.0,0.873
1950-01-19,0.034542325040544615,0.07461142208757636,0.0,3.252,0.0,0.856
1950-01-20,2.1770556279810034,4.702440156438967,10.0,3.252,0.31324272934202946,0.861
1950-01-21,1.7889369864788252,3.8641038907942624,4.0,3.252,0.4589882767621006,0.856
1950-01-22,0.790982301939314,1.708521772188918,1.4,3.252,0.5562510534632497,0.843
1950-01-23,0.2793372993052088,0.603368566499251,0.0,3.252,0.31758948667499043,0.826
1950-01-24,0.11121952125551447,0.24023416591191124,0.0,3.252,0.0,0.809
1950-01-25,0.06734693538679846,0.14546938043548469,0.0,3.252,0.0,0.793
1950-01-26,0.9109947953836848,1.9677487580287591,5.0,3.252,0.5346545478964734,0.789
1950-01-27,4.3534670800372846,9.403488892880535,17.0,3.252,0.6408450581169682,0.815
1950-01-28,3.481218436556115,7.5194318229612085,7.0,3.252,0.8020778839370406,0.826
1950-01-29,1.421375760598454,3.0701716428926606,0.0,3.252,0.0,0.809
1950-01-30,0.5591765902398248,1.2078214349180216,2.0,3.252,0.896804555904145,0.801
1950-01-31,3.0613664852917792,6.612551608230243,13.0,3.252,0.9354592256773869,0.834
1950-02-01,4.826411976029901,10.425049868224585,15.0,3.252,1.060605523280735,1.261
1950-02-02,2.730187560468807,5.8972051306126225,4.0,3.252,1.2063593072395218,0.888
1950-02-03,1.0612857582949569,2.292377237917107,2.0,3.252,1.277306082983468,0.882
1950-02-04,0.38333875648647125,0.8280117140107779,0.5,3.252,0.7932465925358909,0.867
1950-02-05,2.0888197354211724,4.511850628509732,10.0,3.252,1.2475446461844841,0.902
1950-02-06,1.559521850263486,3.3685671965691295,4.0,3.252,1.3692783712103844,0.907
1950-02-07,1.7948443864312824,3.8768638746915696,7.0,3.252,1.4342411814675973,0.929
1950-02-08,5.788410557544445,12.502966804296,22.0,3.252,1.5319016751595878,4.268
1950-02-09,4.7199588847127885,10.195111190979624,10.0,3.252,1.6843257086631138,1.603
1950-02-10,1.9723285526903052,4.260229673811059,0.0,3.252,0.0,0.999
1950-02-11,0.6955630468395428,1.5024161811734125,2.0,3.252,1.7565300309656962,0.994
1950-02-12,0.30844764417241316,0.6662469114124125,2.0,3.252,1.7345948016932387,0.988
1950-02-13,0.2001526851484255,0.4323297999205991,0.0,3.252,0.1931732754999238,0.968
1950-02-14,0.1725239473340706,0.3726517262415925,0.0,3.252,0.0,0.949
1950-02-15,0.1656997983536901,0.35791156444397054,0.0,3.252,0.0,0.93
1950-02-16,0.3814989958236067,0.8240378309789905,3.4,3.252,1.5969509250658802,0.929
1950-02-17,0.2771655202751545,0.5986775237943337,0.0,3.252,0.28764863929550555,0.91
1950-02-18,0.20061794734823185,0.4333347662721808,0.0,3.252,0.0,0.892
1950-02-19,0.1725372126714769,0.37268037937039006,0.0,3.252,0.0,0.874
1950-02-20,0.1637906541371515,0.3537878129362472,0.0,3.252,0.0,0.857
1950-02-21,0.1604067806009964,0.3464786460981522,0.0,3.252,0.0,0.84
1950-02-22,1.029397467969368,2.223498530813835,6.0,3.252,1.4592892058930373,0.843
1950-02-23,0.6117876938661296,1.32146141875084,0.8,3.252,0.8,0.829
1950-02-24,0.3065573370442455,0.6621638480155703,0.0,3.252,0.0,0.813
1950-02-25,0.3556875935186733,0.7682852020003342,3.0,3.252,1.4807064752442378,0.806
1950-02-26,0.2499391783189815,0.539868625169,0.0,3.252,0.3364342238671778,0.79
1950-02-27,3.2573752606138564,7.0359305629259286,14.8,3.252,1.4713667840271993,0.817
1950-02-28,2.4814632625017365,5.359960647003751,5.5,3.252,1.6069132981965755,0.824
1950-03-01,5.9340747491862125,12.81760145824222,22.0,3.252,1.6848372252168546,2.425
1950-03-02,7.019493375238289,15.162105690514704,19.0,3.252,1.833914470985916,3.685
1950-03-03,3.1721402810350696,6.851823007035751,0.0,3.252,0.0,0.9
1950-03-04,10.61465015946183,22.92764434443755,40.0,3.252,1.930970037123004,11.845
1950-03-05,6.930810383831109,14.970550429075198,9.5,3.252,2.100899799840381,2.619
1950-03-06,7.694824423746486,16.620820755292407,23.09,3.252,2.19822706764686,9.307
1950-03-07,6.409225191453087,13.843926413538668,15.0,3.252,2.3384058191199584,5.691
1950-03-08,2.736071908302807,5.909915321934063,0.5,3.252,0.5,1.064
1950-03-09,0.9678511630665539,2.0905585122237564,0.0,3.252,0.0,1.043
1950-03-10,0.40967004528911005,0.8848872978244777,0.0,3.252,0.0,1.022
1950-03-11,0.2700250547842081,0.5832541183338894,2.5,3.252,2.303333074131081,1.022
1950-03-12,0.23527612776347606,0.5081964359691082,0.0,3.252,0.107122133434991,1.002
1950-03-13,0.2259971699189689,0.48815388702497287,0.0,3.252,0.0,0.982
1950-03-14,0.2224689719974314,0.4805329795144518,0.0,3.252,0.0,0.962
1950-03-15,0.2200039257572829,0.47520847963573104,1.5,3.252,1.5,0.953
1950-03-16,5.251683755604645,11.343636912106033,23.0,3.252,2.07672076795414,4.768
1950-03-17,2.83327248317061,6.119868563648518,0.5,3.252,0.5,0.982
1950-03-18,1.068899605228872,2.308823147294363,0.0,3.252,0.0,0.962
1950-03-19,0.4402717470378295,0.9509869736017117,0.0,3.252,0.0,0.943
1950-03-20,2.2420345110772635,4.84279454392689,11.1,3.252,2.0814413431546557,1.266
1950-03-21,1.2550113298530916,2.710824472482678,1.2,3.252,1.2,0.977
1950-03-22,0.5547700259753336,1.1983032561067206,2.0,3.252,2.0,0.97
1950-03-23,0.30568770416314933,0.6602854409924025,0.0,3.252,0.0,0.951
1950-03-24,0.23653740958332564,0.5109208046999834,0.0,3.252,0.0,0.932
1950-03-25,0.21837134712012285,0.4716821097794654,2.0,3.252,2.0,0.924
1950-03-26,3.4641935782000095,7.482658128912021,16.0,3.252,1.96554539777283,1.785
1950-03-27,1.9014003314650771,4.107024715964567,0.8,3.252,0.8,0.955
1950-03-28,0.7611919179717752,1.6441745428190344,1.0,3.252,1.0,0.942
1950-03-29,0.35429339795704606,0.7652737395872196,0.0,3.252,0.0,0.923
1950-03-30,0.242178215044277,0.5231049444956383,0.0,3.252,0.0,0.905
1950-03-31,0.2139279123603118,0.46208429069827345,0.0,3.252,0.0,0.887
1950-04-01,2.9668306472683974,6.4083541980997385,14.0,3.252,1.8800395716939227,0.93
1950-04-02,6.718600993972482,14.51217814698056,23.1,3.252,2.003402491974219,3.988
1950-04-03,3.5418557744908084,7.650408472900146,4.0,3.252,2.1477826970853386,0.985
1950-04-04,1.3103360731004374,2.830325917896945,0.0,3.252,0.27589370518249545,0.965
1950-04-05,0.5043530546166755,1.089402597972019,1.0,3.252,1.0,0.953
1950-04-06,4.743771559023461,10.246546567490677,20.8,3.252,2.079215981104546,4.227
1950-04-07,2.548664148943877,5.505114561718774,0.5,3.252,0.5,0.982
1950-04-08,0.97395651531634,2.103746073083294,1.7,3.252,1.7,0.974
1950-04-09,0.4145980792611372,0.8955318512040562,1.0,3.252,1.0,0.962
1950-04-10,0.26165609719632865,0.56517716994407,0.0,3.252,0.0,0.943
1950-04-11,0.22417333471811154,0.48421440299112084,0.0,3.252,0.0,0.924
1950-04-12,0.21415094515063474,0.46256604152537106,0.0,3.252,0.0,0.905
1950-04-13,0.20990353858203825,0.45339164333720267,0.0,3.252,0.0,0.887
1950-04-14,0.2067143673205478,0.44650303341238323,0.0,3.252,0.0,0.869
1950-04-15,8.164937592523497,17.63626519985075,34.0,3.252,1.8672337972993447,5.041
1950-04-16,4.338723675890548,9.371643139923583,1.8,3.252,1.8,0.912
1950-04-17,1.5478140278509056,3.343278300157957,0.0,3.252,0.0,0.894
1950-04-18,0.5540548601168384,1.1967584978523707,1.5,3.252,1.5,0.886
1950-04-19,7.1353483166519265,15.41235236396816,29.8,3.252,1.9044977612845637,7.335
1950-04-20,6.494841901341812,14.028858506898315,14.0,3.252,2.0623111387813715,3.925
1950-04-21,2.778864748424685,6.00234785659732,0.7,3.252,0.7,0.965
1950-04-22,0.9722283594718386,2.1000132564591714,1.3,3.252,1.3,0.957
1950-04-23,2.473956644759764,5.343746352681091,11.5,3.252,2.0900871923346167,2.399
1950-04-24,1.4076994565875758,3.0406308262291635,3.2,3.252,2.1983018507167422,1.009
1950-04-25,6.354279634785554,13.725244011136796,25.5,3.252,2.2066613134539974,7.985
1950-04-26,3.47605469838268,7.508278148506589,3.9,3.252,2.333989635035997,1.069
1950-04-27,5.573912644655226,12.039651312455288,20.0,3.252,2.35989977643058,6.854
1950-04-28,2.7337822679555583,5.904969698784006,2.0,3.252,2.0,1.109
1950-04-29,6.8218065030461155,14.735102046579607,26.29,3.252,2.421527934862577,9.868
1950-04-30,9.4026961618225,20.309823709536598,27.0,3.252,2.5628913526142405,11.63
1950-05-01,4.478395077123745,9.673333366587288,4.0,3.252,2.702502179152324,1.211
1950-05-02,1.5812184444997601,3.4154318401194823,2.0,3.252,2.3515820013157454,1.207
1950-05-03,0.651575455588624,1.4074029840714277,3.5,3.252,2.637722601101861,1.217
1950-05-04,0.3624070872748949,0.7827993085137729,1.0,3.252,1.320734991226613,1.202
1950-05-05,2.285639216368798,4.936980707356604,11.7,3.252,2.5597780001707373,3.026
1950-05-06,1.4305126469873215,3.0899073174926146,4.0,3.252,2.657610992020557,1.252
1950-05-07,3.3643632205505645,7.26702455638922,14.2,3.252,2.6701161540066147,4.044
1950-05-08,1.9010503972096393,4.106268857972821,4.1,3.252,2.7589402526970144,1.302
1950-05-09,5.498279182444443,11.876283034079995,22.0,3.252,2.7694523098249633,7.446
1950-05-10,2.8493833384998397,6.154668011159653,2.0,3.252,2.0,1.332
1950-05-11,2.611646016032002,5.6411553946291235,10.0,3.252,2.8179786832855798,2.607
1950-05-12,1.2762355340765479,2.756668753605343,0.0,3.252,0.0,1.342
1950-05-13,0.7691830945368988,1.6614354841997012,4.5,3.252,2.840094580095316,1.353
1950-05-14,6.537947524589118,14.121966653112494,27.5,3.252,2.8589223145561538,9.245
1950-05-15,8.21334243393278,17.740819657294804,22.7,3.252,2.9771571180362457,9.103
1950-05-16,3.778406111180117,8.161357200149052,1.3,3.252,1.3,1.412
1950-05-17,1.3750901187354152,2.9701946564684967,3.5,3.252,3.03612641043232,1.417
1950-05-18,0.7693867509220382,1.6618753819916028,4.5,3.252,3.0021646783883402,1.43
1950-05-19,4.346858090726634,9.38921347596953,19.2,3.252,3.007961646480504,6.662
1950-05-20,2.3619664104148885,5.1018474464961585,1.8,3.252,1.8,1.453
1950-05-21,0.9648477401053515,2.084071118627559,2.1,3.252,2.1,1.443
1950-05-22,1.4558824477137828,3.144706087061771,8.0,3.252,2.9799392068863564,1.626
1950-05-23,5.502891399546464,11.886245423020362,22.5,3.252,3.042781894459874,7.727
1950-05-24,4.569983510385824,9.871164382433381,11.0,3.252,3.1637878574501106,3.508
1950-05-25,4.803594742754103,10.375764644348862,15.5,3.252,3.2432558579357402,5.649
1950-05-26,2.467817597319675,5.330486010210498,5.0,3.252,3.252,1.597
1950-05-27,5.305643680967223,11.460190350889201,21.0,3.252,3.252,8.14
1950-05-28,2.733258287008847,5.903837899939109,2.0,3.252,2.0,1.617
1950-05-29,1.0902677449528957,2.3549783290982544,0.3,3.252,0.2999999999999998,1.587
1950-05-30,0.521578703196164,1.126609998903714,1.8,3.252,1.8,1.571
1950-05-31,1.4104826895304858,3.046642609385849,8.5,3.252,3.2413666398938354,1.88
1950-06-01,0.8742539680099287,1.888388570901446,3.0,3.252,3.0,1.597
1950-06-02,0.7807101917883874,1.686334014262917,5.3,3.252,3.23368434960616,1.607
1950-06-03,2.624512601610323,5.668947219478298,12.6,3.252,3.252,3.29
1950-06-04,1.4779038351076295,3.1922722838324793,0.8,3.252,0.7999999999999998,1.613
1950-06-05,3.360554255727807,7.2587971923720636,15.0,3.252,3.252,4.162
1950-06-06,10.63655157971648,22.974951412187593,38.7,3.252,3.252,14.502
1950-06-07,5.386578720555523,11.635010036399928,2.5,3.252,2.5,1.669
1950-06-08,7.711750588959857,16.65738127215329,27.0,3.252,3.252,12.018
1950-06-09,3.746482281755323,8.092401728591497,0.8,3.252,0.7999999999999998,1.675
1950-06-10,1.9072640468606052,4.119690341218908,6.199,3.252,3.252,1.703
1950-06-11,0.8733366066083632,1.886407070274065,2.2,3.252,2.2,1.691
1950-06-12,3.792405636452156,8.191596174736656,17.5,3.252,3.252,6.46
1950-06-13,4.835788727156173,10.445303650657333,15.3,3.252,3.252,5.842
1950-06-14,4.416282759718648,9.53917076099228,12.7,3.252,3.252,4.755
1950-06-15,2.6105333777529514,5.638752095946375,6.5,3.252,3.252,1.808
1950-06-16,1.1553226964662973,2.4954970243672023,0.0,3.252,0.0,1.772
1950-06-17,0.6200733287939046,1.3393583901948338,4.0,3.252,3.252,1.772
1950-06-18,0.8434475427354436,1.8218466923085583,5.5,3.252,3.252,1.783
1950-06-19,0.5883825140771649,1.270906230406676,2.0,3.252,2.0081909734010672,1.764
1950-06-20,5.285892864197636,11.417528586666894,23.5,3.252,3.252,7.74
1950-06-21,3.4218843248903763,7.391270141763211,6.3,3.252,3.252,1.814
1950-06-22,1.453353459335442,3.139243472164555,1.201,3.252,1.201,1.789
