date,Q_sim_m3s,Q_obs_m3s,P_mm
1950-01-01,0.0797832800245218,2.193,0.8
1950-01-02,0.03718222064314376,1.108,0.0
1950-01-03,0.014515955342343019,1.086,0.0
1950-01-04,0.0062775490511351745,1.064,0.0
1950-01-05,0.004786806366877191,1.043,0.0
1950-01-06,0.18055567844613862,1.029,1.5
1950-01-07,3.5409223210884484,1.072,14.2
1950-01-08,1.1556561024176242,1.05,0.0
1950-01-09,0.3095119872975947,1.029,0.0
1950-01-10,0.10271972198339457,1.009,0.0
1950-01-11,0.08841204329013386,0.988,0.0
1950-01-12,0.09531807979051052,0.969,0.0
1950-01-13,0.447281762402338,0.96,3.0
1950-01-14,0.40667817742831425,0.947,1.5
1950-01-15,0.17325889921573262,0.928,0.0
1950-01-16,0.13861423522037705,0.909,0.0
1950-01-17,0.13958543770802628,0.891,0.0
1950-01-18,0.14371792317667592,0.873,0.0
1950-01-19,0.14728914335674567,0.856,0.0
1950-01-20,2.1208700564020604,0.861,10.0
1950-01-21,1.6182779245384427,0.856,4.0
1950-01-22,0.7817100564432118,0.843,1.4
1950-01-23,0.28928469075970087,0.826,0.0
1950-01-24,0.22802462355118874,0.809,0.0
1950-01-25,0.22858790836573845,0.793,0.0
1950-01-26,0.8999477934451888,0.789,5.0
1950-01-27,4.746003183880251,0.815,17.0
1950-01-28,3.2157065257887063,0.826,7.0
1950-01-29,0.9431987785230298,0.809,0.0
1950-01-30,0.5563085504680502,0.801,2.0
1950-01-31,3.035470440939502,0.834,13.0
1950-02-01,4.952775798767182,1.261,15.0
1950-02-02,2.3481986769206302,0.888,4.0
1950-02-03,1.0138216875500878,0.882,2.0
1950-02-04,0.6049289004393102,0.867,0.5
1950-02-05,2.065423096640688,0.902,10.0
1950-02-06,1.476051595105778,0.907,4.0
1950-02-07,1.8514229238536755,0.929,7.0
1950-02-08,6.57562969790795,4.268,22.0
1950-02-09,4.790703034258872,1.603,10.0
1950-02-10,1.5662259674766617,0.999,0.0
1950-02-11,0.9132405295655789,0.994,2.0
1950-02-12,0.8599451472339676,0.988,2.0
1950-02-13,0.8725868736752016,0.968,0.0
1950-02-14,0.8881553553305765,0.949,0.0
1950-02-15,0.8998449338073246,0.93,0.0
1950-02-16,0.9484541635928029,0.929,3.4
1950-02-17,0.917262947408151,0.91,0.0
1950-02-18,0.9143959826861469,0.892,0.0
1950-02-19,0.9126523592126905,0.874,0.0
1950-02-20,0.9091208679158491,0.857,0.0
1950-02-21,0.9037476025669533,0.84,0.0
1950-02-22,1.4496160884282356,0.843,6.0
1950-02-23,0.9606899116248007,0.829,0.8
1950-02-24,0.8960477035566146,0.813,0.0
1950-02-25,0.9453593204991715,0.806,3.0
1950-02-26,0.879697708563264,0.79,0.0
1950-02-27,3.720561799659089,0.817,14.8
1950-02-28,2.597891294804574,0.824,5.5
1950-03-01,6.99324292667563,2.425,22.0
1950-03-02,8.035471997770266,3.685,19.0
1950-03-03,2.6324289666378435,0.9,0.0
1950-03-04,13.585193513945693,11.845,40.0
1950-03-05,7.007261388358497,2.619,9.5
1950-03-06,9.320989717203656,9.307,23.09
1950-03-07,7.614421138584272,5.691,15.0
1950-03-08,2.8871012118687407,1.064,0.5
1950-03-09,1.6384421849080326,1.043,0.0
1950-03-10,1.5324795356714032,1.022,0.0
1950-03-11,1.552842606283584,1.022,2.5
1950-03-12,1.579459536824783,1.002,0.0
1950-03-13,1.5992848503458146,0.982,0.0
1950-03-14,1.6118868748120851,0.962,0.0
1950-03-15,1.618178737816756,0.953,1.5
1950-03-16,6.742613644401817,4.768,23.0
1950-03-17,2.966725885471776,0.982,0.5
1950-03-18,1.8236139742114383,0.962,0.0
1950-03-19,1.6905172574012988,0.943,0.0
1950-03-20,3.2191420692022117,1.266,11.1
1950-03-21,2.0151521426926826,0.977,1.2
1950-03-22,1.720153947027528,0.97,2.0
1950-03-23,1.67897563332871,0.951,0.0
1950-03-24,1.6649533302465334,0.932,0.0
1950-03-25,1.65147411523788,0.924,2.0
1950-03-26,4.537681396386682,1.785,16.0
1950-03-27,2.3463137280037905,0.955,0.8
