date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1950-01-01,0.14368151101869106,2.193,0.8,Calibration
1950-01-02,0.05539578054741785,1.108,0.0,Calibration
1950-01-03,0.024981451798376485,1.086,0.0,Calibration
1950-01-04,0.017602159810080474,1.064,0.0,Calibration
1950-01-05,0.016589859176959085,1.043,0.0,Calibration
1950-01-06,0.4885257478033822,1.029,1.5,Calibration
1950-01-07,11.674701888331901,1.072,14.2,Calibration
1950-01-08,1.4718228142191456,1.05,0.0,Calibration
1950-01-09,0.20837899665255616,1.029,0.0,Calibration
1950-01-10,0.10043925496769365,1.009,0.0,Calibration
1950-01-11,0.09646233645004776,0.988,0.0,Calibration
1950-01-12,0.09848451204211597,0.969,0.0,Calibration
1950-01-13,1.7167599797439448,0.96,3.0,Calibration
1950-01-14,0.8744564361709657,0.947,1.5,Calibration
1950-01-15,0.2622160988890506,0.928,0.0,Calibration
1950-01-16,0.16088852318628816,0.909,0.0,Calibration
1950-01-17,0.1475096576124383,0.891,0.0,Calibration
1950-01-18,0.14628817410879674,0.873,0.0,Calibration
1950-01-19,0.14449297450643997,0.856,0.0,Calibration
1950-01-20,7.680787413474202,0.861,10.0,Calibration
1950-01-21,3.60025505857487,0.856,4.0,Calibration
1950-01-22,0.9272481972556683,0.843,1.4,Calibration
1950-01-23,0.32330151068859864,0.826,0.0,Calibration
1950-01-24,0.23854610748107566,0.809,0.0,Calibration
1950-01-25,0.2309178570684234,0.793,0.0,Calibration
1950-01-26,3.5507540611365074,0.789,5.0,Calibration
1950-01-27,14.141724912300026,0.815,17.0,Calibration
1950-01-28,6.8732508642403864,0.826,7.0,Calibration
1950-01-29,1.0739117920163903,0.809,0.0,Calibration
1950-01-30,1.0681877285271533,0.801,2.0,Calibration
1950-01-31,10.866955073745153,0.834,13.0,Calibration
1950-02-01,13.353556168493204,1.261,15.0,Calibration
1950-02-02,4.370976187918664,0.888,4.0,Calibration
1950-02-03,1.5108624848970977,0.882,2.0,Calibration
1950-02-04,0.7354881998804956,0.867,0.5,Calibration
1950-02-05,8.21309232896083,0.902,10.0,Calibration
1950-02-06,3.854678485818896,0.907,4.0,Calibration
1950-02-07,5.761663985770956,0.929,7.0,Calibration
1950-02-08,18.890891070525257,4.268,22.0,Calibration
1950-02-09,10.142272836120513,1.603,10.0,Calibration
1950-02-10,1.7592882610504408,0.999,0.0,Calibration
1950-02-11,1.3492569993687604,0.994,2.0,Calibration
1950-02-12,1.6937386875876648,0.988,2.0,Calibration
1950-02-13,0.8218178378991496,0.968,0.0,Calibration
1950-02-14,0.6981457876025421,0.949,0.0,Calibration
1950-02-15,0.6700723662914748,0.93,0.0,Calibration
1950-02-16,2.476169938614391,0.929,3.4,Calibration
1950-02-17,0.8624552616403689,0.91,0.0,Calibration
1950-02-18,0.6420913382551278,0.892,0.0,Calibration
1950-02-19,0.6000572711793791,0.874,0.0,Calibration
1950-02-20,0.5727824365529107,0.857,0.0,Calibration
1950-02-21,0.5456921308938343,0.84,0.0,Calibration
1950-02-22,4.600435565983951,0.843,6.0,Calibration
1950-02-23,1.0957488003184193,0.829,0.8,Calibration
1950-02-24,0.5632364166879918,0.813,0.0,Calibration
1950-02-25,2.0480487507022733,0.806,3.0,Calibration
1950-02-26,0.6747033731526986,0.79,0.0,Calibration
1950-02-27,12.080200160267314,0.817,14.8,Calibration
1950-02-28,5.5319584354169935,0.824,5.5,Calibration
1950-03-01,18.81154977215182,2.425,22.0,Calibration
1950-03-02,17.84100268819043,3.685,19.0,Calibration
1950-03-03,2.6065352819563583,0.9,0.0,Calibration
1950-03-04,34.188570656969794,11.845,40.0,Calibration
1950-03-05,11.586449485607279,2.619,9.5,Calibration
1950-03-06,20.465736779663768,9.307,23.09,Calibration
1950-03-07,14.630287484335076,5.691,15.0,Calibration
