date,Q_sim_m3s,Q_sim_mm,Q_obs_m3s,P_mm,PET_mm,ET_mm,Period
1950-01-01,0.04968914376017793,0.10732855052198434,2.193,0.8,3.252,0.0,Calibration
1950-01-02,0.02690518623849598,0.058115202275151316,1.108,0.0,3.252,0.06638278632596352,Calibration
1950-01-03,0.015256663028253518,0.0329543921410276,1.086,0.0,3.252,0.04359256111770596,Calibration
1950-01-04,0.010211244571803403,0.02205628827509535,1.064,0.0,3.252,0.02994008057010518,Calibration
1950-01-05,0.008112904732679357,0.017523874222587412,1.043,0.0,3.252,0.021331421674935645,Calibration
1950-01-06,0.13107750759214348,0.28312741639902994,1.029,1.5,3.252,0.01566759397446426,Calibration
1950-01-07,2.964023180758721,6.402290070438836,1.072,14.2,3.252,0.12807232768035573,Calibration
1950-01-08,0.7418845373173124,1.6024706006053948,1.05,0.0,3.252,0.7210674640106072,Calibration
1950-01-09,0.2681215519748399,0.5791425522656541,1.029,0.0,3.252,0.393959990297195,Calibration
1950-01-10,0.14580452796390656,0.3149377804020382,1.009,0.0,3.252,0.2541040644952255,Calibration
1950-01-11,0.1093177635771835,0.23612636932671635,0.988,0.0,3.252,0.18010447832468066,Calibration
1950-01-12,0.09867152655239263,0.21313049735316808,0.969,0.0,3.252,0.13532023779378816,Calibration
1950-01-13,0.40924720636323786,0.8839739657445937,0.96,3.0,3.252,0.10547175369124079,Calibration
1950-01-14,0.4142757197406305,0.894835554639762,0.947,1.5,3.252,0.2991258520786618,Calibration
1950-01-15,0.22676305335641347,0.48980819524985314,0.928,0.0,3.252,0.2991037537324389,Calibration
1950-01-16,0.15708724511862043,0.3393084494562202,0.909,0.0,3.252,0.20231131597301344,Calibration
1950-01-17,0.1314061530161387,0.28383729051485956,0.891,0.0,3.252,0.14739536185641888,Calibration
1950-01-18,0.12112270014717083,0.26162503231788903,0.873,0.0,3.252,0.11258001395649327,Calibration
1950-01-19,0.11715418570969102,0.2530530411329326,0.856,0.0,3.252,0.05663924371614397,Calibration
1950-01-20,1.7686694598216026,3.8203260332146614,0.861,10.0,3.252,0.07394218722373196,Calibration
1950-01-21,1.3374526352222615,2.888897692080085,0.856,4.0,3.252,0.6123788910187622,Calibration
1950-01-22,0.719636140216545,1.5544140628677372,0.843,1.4,3.252,0.560266897436596,Calibration
1950-01-23,0.3457547186763112,0.7468301923408321,0.826,0.0,3.252,0.4287275473733969,Calibration
1950-01-24,0.2303985384840009,0.4976608431254419,0.809,0.0,3.252,0.2874221627509198,Calibration
1950-01-25,0.19235593540261375,0.4154888204696457,0.793,0.0,3.252,0.2099478656733451,Calibration
1950-01-26,0.8243151508217353,1.7805207257749485,0.789,5.0,3.252,0.16132733877048389,Calibration
