date,Q_sim_m3s,Q_obs_m3s,P_mm,ET_mm,S_total
1950-01-01,0.004537980341693003,2.193,0.8,0.0,0.6799250401588033
1950-01-02,0.009154265859510385,1.108,0.0,0.0718626966065333,0.5373761258256207
1950-01-03,0.012300715667383779,1.086,0.0,0.04898954987576318,0.4476781542675197
1950-01-04,0.01375433729393855,1.064,0.0,0.03487533342225935,0.390247519171363
1950-01-05,0.013811665251384986,1.043,0.0,0.026107479144978227,0.35253766567593436
1950-01-06,0.021412279635774592,1.029,1.5,0.02060491162329482,1.601761227924226
1950-01-07,0.10914275507915468,1.072,14.2,0.15184102939946265,13.384929588468912
1950-01-08,0.1952521622589694,1.05,0.0,1.3822323706370983,10.672855371368573
1950-01-09,0.2520594548324458,1.029,0.0,0.9482353889382896,8.962231347384224
1950-01-10,0.27629852661202847,1.009,0.0,0.6801956850665531,7.863119850333759
1950-01-11,0.27411562660378014,0.988,0.0,0.5134623560723047,7.137839680022092
1950-01-12,0.2539395265110244,0.969,0.0,0.408609300010471,6.64153108489042
1950-01-13,0.24046319925291845,0.96,3.0,0.34159200630138364,8.835635969322503
1950-01-14,0.23138707902149988,0.947,1.5,0.5672305116823091,9.307228670592796
1950-01-15,0.2166221292257025,0.928,0.0,0.5865772327902352,8.489008295588768
1950-01-16,0.19495981085837327,0.909,0.0,0.4699073866511789,7.92505523156634
1950-01-17,0.16881243482921754,0.891,0.0,0.39514543319311146,7.57048055336075
1950-01-18,0.1425560130346401,0.873,0.0,0.35164786354852684,7.547601038420556
1950-01-19,0.11842625774379793,0.856,0.0,0.3481313849130416,7.523691681034623
1950-01-20,0.15215496287936262,0.861,10.0,0.34465007106391116,15.705027658930696
1950-01-21,0.21090632326764566,0.856,4.0,1.2085279235695807,17.068621538997846
1950-01-22,0.2614692293032204,0.843,1.4,1.2577193155001531,16.21059343678009
1950-01-23,0.2859125779475055,0.826,0.0,1.0748004979707841,14.606847629866827
1950-01-24,0.28431865983730226,0.809,0.0,0.84067428616261,13.520762455231432
1950-01-25,0.26317360779584487,0.793,0.0,0.6919339624679224,12.752680370044157
1950-01-26,0.25836964509594973,0.789,5.0,0.5954526294499757,16.430427398234706
1950-01-27,0.34488147572134026,0.815,17.0,0.9801659392909061,29.53822649074013
1950-01-28,0.46266728389413037,0.826,7.0,2.319588048843867,31.524991683528913
1950-01-29,0.541464284274562,0.809,0.0,2.341618219588152,27.68915191099589
1950-01-30,0.5779166073486073,0.801,2.0,1.7618618234563752,26.856958270103053
1950-01-31,0.6424346809326339,0.834,13.0,1.5772250513709836,35.81639148132535
1950-02-01,0.7581493463556871,1.261,15.0,2.4552489914091224,44.78266752539211
1950-02-02,0.8523659493865888,0.888,4.0,3.243801276138549,42.970440328138835
1950-02-03,0.8932194903563486,0.882,2.0,2.8205801744289283,40.499689149892205
1950-02-04,0.8739977708828869,0.867,0.5,2.3931140414722463,37.7373505096098
1950-02-05,0.86190747075205,0.902,10.0,1.9947191415232357,43.915212311549745
1950-02-06,0.8416526295801702,0.907,4.0,2.592567178839701,43.83364904152726
1950-02-07,0.828027662289631,0.929,7.0,2.4673531908682635,46.63540244945311
1950-02-08,0.909124187677721,4.268,22.0,2.669331291086071,61.8477802876303
1950-02-09,1.0218621369722725,1.603,10.0,3.252,64.7438289966518
1950-02-10,1.0781505687345758,0.999,0.0,3.252,59.3171771918376
