date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1950-01-01,0.1316983215017156,2.193,0.8,Calibration
1950-01-02,0.03219631645557099,1.108,0.0,Calibration
1950-01-03,0.014798785152900739,1.086,0.0,Calibration
1950-01-04,0.010949810236133093,1.064,0.0,Calibration
1950-01-05,0.01013061635181884,1.043,0.0,Calibration
1950-01-06,0.5503746681340226,1.029,1.5,Calibration
1950-01-07,13.401663375009575,1.072,14.2,Calibration
1950-01-08,0.26561634631318376,1.05,0.0,Calibration
1950-01-09,0.06432360993652705,1.029,0.0,Calibration
1950-01-10,0.061319919890649305,1.009,0.0,Calibration
1950-01-11,0.05961856198556188,0.988,0.0,Calibration
1950-01-12,0.05776267105702951,0.969,0.0,Calibration
1950-01-13,2.0615526053359954,0.96,3.0,Calibration
1950-01-14,0.6353902641427845,0.947,1.5,Calibration
1950-01-15,0.16373392107606954,0.928,0.0,Calibration
1950-01-16,0.13273221897848989,0.909,0.0,Calibration
1950-01-17,0.12432586287268084,0.891,0.0,Calibration
1950-01-18,0.11906765305262179,0.873,0.0,Calibration
1950-01-19,0.11433333520418325,0.856,0.0,Calibration
1950-01-20,8.928946701110831,0.861,10.0,Calibration
1950-01-21,3.2320403624686196,0.856,4.0,Calibration
1950-01-22,0.6937848738779303,0.843,1.4,Calibration
1950-01-23,0.27317938075078474,0.826,0.0,Calibration
1950-01-24,0.23655320110910452,0.809,0.0,Calibration
1950-01-25,0.22158222465888755,0.793,0.0,Calibration
1950-01-26,4.183474493069959,0.789,5.0,Calibration
1950-01-27,16.035321966956456,0.815,17.0,Calibration
1950-01-28,6.39513850947615,0.826,7.0,Calibration
1950-01-29,0.4470973542622553,0.809,0.0,Calibration
1950-01-30,1.2861936271592305,0.801,2.0,Calibration
1950-01-31,12.470355905216481,0.834,13.0,Calibration
1950-02-01,14.339668261911603,1.261,15.0,Calibration
1950-02-02,3.617144634749551,0.888,4.0,Calibration
1950-02-03,1.4914013061199498,0.882,2.0,Calibration
1950-02-04,0.682101722525086,0.867,0.5,Calibration
1950-02-05,9.683216386869496,0.902,10.0,Calibration
1950-02-06,3.6328592165087534,0.907,4.0,Calibration
1950-02-07,6.4785731338567665,0.929,7.0,Calibration
1950-02-08,21.376918978779184,4.268,22.0,Calibration
1950-02-09,9.772658856720373,1.603,10.0,Calibration
1950-02-10,0.819588144419092,0.999,0.0,Calibration
1950-02-11,1.5829175840290177,0.994,2.0,Calibration
1950-02-12,1.9618613954244122,0.988,2.0,Calibration
1950-02-13,0.6764455237116689,0.968,0.0,Calibration
1950-02-14,0.6096477812572318,0.949,0.0,Calibration
1950-02-15,0.5636433716245531,0.93,0.0,Calibration
1950-02-16,2.926970029142038,0.929,3.4,Calibration
1950-02-17,0.5838051148072096,0.91,0.0,Calibration
1950-02-18,0.511105334967525,0.892,0.0,Calibration
1950-02-19,0.473743970670343,0.874,0.0,Calibration
1950-02-20,0.4391418948014598,0.857,0.0,Calibration
1950-02-21,0.40737664187841166,0.84,0.0,Calibration
1950-02-22,5.25170261245453,0.843,6.0,Calibration
1950-02-23,0.6290309352152016,0.829,0.8,Calibration
1950-02-24,0.4403935947163259,0.813,0.0,Calibration
1950-02-25,2.590862051538789,0.806,3.0,Calibration
1950-02-26,0.4571815897053116,0.79,0.0,Calibration
1950-02-27,13.946060474517678,0.817,14.8,Calibration
1950-02-28,5.033706863108169,0.824,5.5,Calibration
1950-03-01,21.21805119651233,2.425,22.0,Calibration
1950-03-02,18.539119223219302,3.685,19.0,Calibration
1950-03-03,0.8312789983088905,0.9,0.0,Calibration
